Sample	Node	XGB	RF	RF_Adenoviridae	RF_Anelloviridae	RF_Arenaviridae	RF_Astroviridae	RF_Bornaviridae	RF_Caliciviridae	RF_Circoviridae	RF_Coronaviridae	RF_Filoviridae	RF_Flaviviridae	RF_Genomoviridae	RF_Hantaviridae	RF_Hepadnaviridae	RF_Hepeviridae	RF_Kolmioviridae	RF_Matonaviridae	RF_Nairoviridae	RF_Orthoherpesviridae	RF_Orthomyxoviridae	RF_Papillomaviridae	RF_Paramyxoviridae	RF_Parvoviridae	RF_Peribunyaviridae	RF_Phenuiviridae	RF_Picornaviridae	RF_Pneumoviridae	RF_Polyomaviridae	RF_Poxviridae	RF_Redondoviridae	RF_Retroviridae	RF_Rhabdoviridae	RF_Sedoreoviridae	RF_Spinareoviridae	RF_Togaviridae	XGB_Adenoviridae	XGB_Anelloviridae	XGB_Arenaviridae	XGB_Astroviridae	XGB_Bornaviridae	XGB_Caliciviridae	XGB_Circoviridae	XGB_Coronaviridae	XGB_Filoviridae	XGB_Flaviviridae	XGB_Genomoviridae	XGB_Hantaviridae	XGB_Hepadnaviridae	XGB_Hepeviridae	XGB_Kolmioviridae	XGB_Matonaviridae	XGB_Nairoviridae	XGB_Orthoherpesviridae	XGB_Orthomyxoviridae	XGB_Papillomaviridae	XGB_Paramyxoviridae	XGB_Parvoviridae	XGB_Peribunyaviridae	XGB_Phenuiviridae	XGB_Picornaviridae	XGB_Pneumoviridae	XGB_Polyomaviridae	XGB_Poxviridae	XGB_Redondoviridae	XGB_Retroviridae	XGB_Rhabdoviridae	XGB_Sedoreoviridae	XGB_Spinareoviridae	XGB_Togaviridae	GC_Content	Length	protein_profiles	stitle	pident	evalue	bitscore
FN8	NODE_47_length_2229_cov_19.750000	Anelloviridae	Anelloviridae	0.02	0.52	0.01	0.0	0.0	0.01	0.02	0.01	0.0	0.07	0.0	0.0	0.03	0.0	0.0	0.0	0.02	0.0	0.1	0.01	0.0	0.01	0.01	0.03	0.01	0.02	0.0	0.0	0.0	0.05	0.0	0.05	0.0	0.0	18.732.956	92.270.356	15.850.016	26.048.247	13.948.367	20.235.942	13.287.101	20.317.344	15.271.847	18.201.236	16.006.987	13.343.507	36.386.752	15.964.787	17.866.232	22.523.815	11.290.789	18.771.387	45.997.645	2.173.806	15.807.967	18.191.268	12.859.179	15.200.576	23.854.957	1.700.148	18.709.844	2.092.738	13.056.208	31.735.573	16.553.074	40.935.976	2.214.632	22.584.505	49.3	2229	TT_ORF2	ORF1 [Anelloviridae sp.]	92.767	0.0	1063.0
FN8	NODE_2427_length_538_cov_27.030369	Sedoreoviridae	Retroviridae	0.0	0.08	0.04	0.01	0.0	0.0	0.05	0.0	0.0	0.05	0.0	0.03	0.11	0.0	0.01	0.0	0.02	0.0	0.06	0.03	0.05	0.0	0.02	0.09	0.02	0.0	0.01	0.0	0.01	0.18	0.0	0.1	0.03	0.0	34.254.212	24.888.189	9.387.853	75.386.767	37.735.591	32.256.006	6.243.528	55.591.487	24.343.247	9.949.834	24.766.317	62.809.787	25.619.872	2.909.515	73.541.477	3.262.263	7.744.413	9.154.057	55.987.034	34.650.357	579.378	39.566.555	2.793.622	8.194.558	3.480.987	3.099.732	29.823.396	33.358.154	38.102.055	8.635.167	26.385.528	2.744.145	4.735.718	31.290.438	39.78	538	RNase_H, Integrase_Zn	RecName: Full=Intracisternal A-particle Pol-related polyprotein; Contains: RecName: Full=Reverse transcriptase/ribonuclease H; Short=RT; Contains: RecName: Full=Integrase; Short=IN [Golden hamster intracisternal A-particle H18]	73.188	5.79e-60	211.0
FN8	NODE_2106_length_570_cov_4.405680	Anelloviridae	Sedoreoviridae	0.0	0.13	0.0	0.03	0.0	0.04	0.04	0.0	0.0	0.11	0.1	0.02	0.02	0.03	0.04	0.01	0.01	0.05	0.05	0.0	0.02	0.01	0.02	0.01	0.03	0.0	0.0	0.0	0.0	0.0	0.02	0.16	0.04	0.01	6.675.809	56.376.886	5.908.069	11.944.599	7.354.296	62.863.785	25.603.322	9.442.283	47.442.614	24.714.128	6.183.717	27.838.112	22.178.122	70.193.014	20.156.228	7.393.649	2.910.284	24.670.598	6.257.643	11.375.293	1.583.791	56.511.915	67.598.856	23.967.521	6.784.101	5.281.579	5.812.286	65.011.764	25.187.177	15.142.557	51.422.796	22.043.024	15.746.184	70.159.655	55.96	570	Abhydrolase_1, Abhydrolase_6, Hydrolase_4	alpha/beta fold hydrolase [Streptomyces sp. AcH 505]	100.0	1.69e-94	288.0
FN8	NODE_1788_length_611_cov_1.050562	Sedoreoviridae	Flaviviridae	0.01	0.11	0.0	0.02	0.0	0.03	0.05	0.01	0.0	0.14	0.02	0.0	0.03	0.04	0.02	0.11	0.0	0.04	0.08	0.0	0.0	0.01	0.01	0.04	0.03	0.0	0.0	0.0	0.0	0.01	0.02	0.09	0.05	0.03	6,76E+02	4.288.082	20.334.731	9.620.964	4,39E+01	6,37E+01	6,85E+01	15.037.882	4,81E+02	3.967.327	7,42E+01	22.315.257	18.267.334	5,75E+02	6.389.784	5,08E+02	10.688.227	23.548.456	27.975.887	10.312.337	9,33E+01	7,84E+01	48.997.987	27.010.453	6,87E+01	3.093.437	5,89E+01	6,59E+01	4.359.451	8.411.958	4.547.188	9.375.362	18.049.366	7,11E+02	67.1	611	MFS_1	MFS transporter [Bradyrhizobium prioriisuperbiae]	85.714	1.07e-88	277.0
FN8	NODE_1572_length_642_cov_16.361062	Anelloviridae	Anelloviridae	0.01	0.58	0.0	0.01	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.01	0.04	0.0	0.0	0.01	0.03	0.0	0.09	0.01	0.01	0.0	0.01	0.02	0.02	0.02	0.01	0.01	0.0	0.03	0.0	0.03	0.01	0.0	2,96E+01	9.768.198	6,12E+00	8,87E-01	2,78E+01	3,20E+00	6,19E+00	2,90E+00	2,94E+00	6,54E+01	2,53E+01	1,08E+02	2,36E+02	2,52E+01	4,90E+00	2,55E+00	6,45E+02	6,44E+00	22.825.224	3,44E+00	1,30E+03	3,54E+01	3,87E+01	1,16E+01	3,45E+01	2,69E+01	2,96E+01	3,31E+01	2,55E+01	6,47E+01	6,58E+00	2,98E+02	3,94E+02	3,57E+01	53.27	642	TT_ORF1	MAG: ORF1 protein [Alphatorquevirus homin18]	99.49	8.77e-139	417.0
FN8	NODE_1382_length_675_cov_4.894649	Retroviridae	Sedoreoviridae	0.01	0.05	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.11	0.08	0.0	0.06	0.06	0.06	0.07	0.0	0.06	0.02	0.0	0.05	0.01	0.05	0.04	0.01	0.0	0.0	0.02	0.0	0.0	0.0	0.15	0.05	0.0	34.319.418	16.607.778	60.514.063	5.547.297	37.807.424	32.317.408	64.226.724	6.172.084	24.389.597	41.740.667	20.376.435	5.065.372	17.654.443	3.270.631	11.440.172	4.285.481	46.574.054	12.717.089	8.470.554	5.231.764	15.595.006	35.773.509	43.115.546	956.039	34.876.133	71.723.787	29.880.167	33.421.651	7.950.912	47.624.537	26.435.754	3.520.629	9.832.517	31.350.004	63.26	675	MFS_1	MFS transporter [Pseudomonadota bacterium]	82.993	5.04e-67	223.0
FN8	NODE_1336_length_686_cov_1.642036	Sedoreoviridae	Sedoreoviridae	0.01	0.08	0.0	0.01	0.01	0.0	0.03	0.0	0.0	0.14	0.03	0.0	0.01	0.08	0.0	0.13	0.01	0.04	0.06	0.0	0.01	0.02	0.02	0.03	0.01	0.0	0.0	0.02	0.0	0.01	0.02	0.15	0.07	0.0	1.715.812	21.136.377	2.072.463	4.812.398	17.860.808	16.157.207	27.894.395	20.776.995	12.193.668	40.847.552	86.558.016	51.291.997	14.830.151	14.573.925	2.444.745	1.395.427	20.370.255	85.492	63.414.796	17.356.551	1.396.167	27.128.845	15.200.129	69.977.087	19.046.776	679.631	149.387	16.709.279	1.973.759	35.841.376	24.058.149	9.268.108	20.259.107	18.032.386	64.58	686	MFS_1	MDR family MFS transporter [Paraburkholderia acidicola]	56.034	1,55E-26	161.0
FN8	NODE_1281_length_694_cov_5.068071	Sedoreoviridae	Sedoreoviridae	0.0	0.07	0.0	0.01	0.0	0.0	0.09	0.0	0.0	0.03	0.12	0.0	0.05	0.01	0.01	0.03	0.0	0.01	0.04	0.0	0.04	0.03	0.05	0.04	0.01	0.0	0.0	0.04	0.0	0.02	0.0	0.21	0.09	0.0	6.519.361	22.004.985	76.517.224	4.641.586	60.345.663	61.390.566	2.206.199	5.562.214	46.330.792	13.420.588	4.402.563	8.368.918	33.826.954	61.095.646	1.073	646.764	4.888.176	72.121.265	47.568.586	6.594.756	16.802.298	6.795.582	77.292	28.025.762	6.625.115	996.759	5.676.075	634.882	70.708.705	6.667.366	91.410.807	9.362.681	9.483.218	5.955.287	54.03	694	Resolvase	recombinase family protein [Bradyrhizobium sp.]	62.595	1.04e-48	171.0
FN8	NODE_985_length_769_cov_19.553468	Phenuiviridae	Anelloviridae	0.0	0.16	0.0	0.02	0.01	0.02	0.02	0.0	0.0	0.1	0.0	0.0	0.07	0.0	0.0	0.0	0.03	0.0	0.14	0.0	0.03	0.06	0.0	0.09	0.03	0.0	0.0	0.0	0.0	0.06	0.0	0.11	0.04	0.01	18.379.117	9.406.258	18.799.925	16.679.551	14.482.638	19.853.713	5.515.547	24.729.634	14.983.383	383.213	3.753.826	27.416.057	12.061.147	20.092.628	24.006.588	18.421.706	3.384.821	14.648.351	7.434.242	32.140.575	1.846.122	2.684.882	16.578.555	5.030.356	23.404.371	29.577.985	1.835.644	20.532.089	45.505.306	56.382.854	16.240.408	8.068.955	17.984.238	22.157.915	51.63	769	DNA_pol_B	uncharacterized protein WHR41_02218 [Cladosporium halotolerans]	94.872	6.13e-94	313.0
FN8	NODE_966_length_774_cov_8.129125	Anelloviridae	Sedoreoviridae	0.01	0.09	0.01	0.03	0.01	0.02	0.05	0.0	0.0	0.09	0.01	0.0	0.08	0.01	0.02	0.0	0.02	0.01	0.11	0.0	0.03	0.0	0.03	0.03	0.01	0.0	0.0	0.0	0.0	0.01	0.01	0.15	0.15	0.01	4.817.642	4.221.986	11.128.787	18.525.768	5.307.276	4.536.606	48.711.775	4.588.056	34.237.278	4.363.577	34.560.207	8.295.429	41.639.945	5.285.352	44.710.428	4.140.112	26.296.573	14.233.913	77.588.055	4.873.357	6.267.051	67.803.515	59.381.165	17.926.805	4.895.791	42.020.455	41.944.743	4.691.616	45.875.264	82.527.045	10.215.206	4.273.122	83.432.436	4.400.805	48.71	774	Pkinase, PK_Tyr_Ser-Thr, Pkinase_fungal	Serine/threonine-protein kinase ste20 [Friedmanniomyces simplex]	98.75	6.97e-112	337.0
FN8	NODE_840_length_816_cov_7.591340	Sedoreoviridae	Sedoreoviridae	0.01	0.06	0.0	0.03	0.0	0.0	0.02	0.01	0.0	0.06	0.12	0.0	0.02	0.03	0.09	0.06	0.01	0.05	0.01	0.0	0.05	0.0	0.07	0.01	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.18	0.08	0.0	66.843.734	50.102.663	83.487.673	13.969.627	57.833.147	6.294.442	15.761.474	6.365.828	47.503.476	15.420.407	402.539	36.145.372	72.391.605	82.278.217	17.957.997	9.223.598	14.014.341	24.343.347	37.479.186	11.389.884	1.419.097	9.210.203	7.700.162	45.313.136	6.792.804	68.110.705	5.819.742	6.509.516	12.523.964	30.838.022	22.176.849	9.018.433	11.049.208	70.249.656	59.19	816	AAA_19, AAA_30	ATP-dependent DNA helicase [Afipia birgiae]	64.706	4.18e-107	333.0
FN8	NODE_834_length_819_cov_5.047170	Anelloviridae	Sedoreoviridae	0.01	0.15	0.0	0.01	0.0	0.01	0.07	0.0	0.0	0.04	0.0	0.03	0.08	0.0	0.02	0.0	0.04	0.0	0.1	0.01	0.05	0.01	0.08	0.02	0.03	0.0	0.0	0.0	0.0	0.02	0.01	0.17	0.04	0.0	9.871.282	20.280.784	12.371.948	10.987.731	97.973.915	1.066.328	11.967.475	966.133	804.746	2.022.649	133.813.545	9.651.812	18.394.439	12.423.205	18.637.553	7.784.338	18.867.046	452.554	1.599.849	11.454.813	4.679.345	10.568.072	14.395.308	3.801.214	11.507.543	1.024.718	9.859.103	1.102.763	55.991.363	62.586.196	12.153.782	34.699.302	19.356.413	1.034.408	46.4	819	Beta_helix	MAG: T9SS type A sorting domain-containing protein [Sphingobacteriales bacterium]	80.702	1.41e-120	365.0
FN8	NODE_787_length_840_cov_6.470511	Orthoherpesviridae	Flaviviridae	0.0	0.06	0.0	0.0	0.0	0.01	0.03	0.0	0.0	0.14	0.1	0.0	0.02	0.06	0.01	0.1	0.01	0.1	0.02	0.0	0.02	0.0	0.01	0.06	0.01	0.0	0.01	0.01	0.0	0.01	0.0	0.14	0.07	0.0	293.093	26.011.195	4.226.198	35.333.724	32.288.106	27.599.551	561.011	31.795.574	2.533.112	29.978.056	23.712.514	902.255	6.490.676	36.076.936	4.900.339	2.202.201	33.334.065	3.578.374	7.343.597	44.680.047	37.312.903	27.353.123	6.291.224	10.922.437	3.253.548	4.948.877	2.551.811	28.542.592	10.828.904	11.654.932	2.257.653	2.593.934	10.496.303	3.080.271	62.62	840	MFS_1, Sugar_tr	MFS transporter [Bradyrhizobium sp.]	80.952	5.84e-65	221.0
FN8	NODE_684_length_884_cov_2.942999	Phenuiviridae	Orthomyxoviridae	0.0	0.09	0.04	0.02	0.0	0.01	0.01	0.01	0.0	0.02	0.0	0.03	0.01	0.0	0.0	0.0	0.07	0.0	0.2	0.01	0.01	0.02	0.05	0.16	0.03	0.01	0.0	0.0	0.0	0.12	0.0	0.08	0.0	0.0	29.003.378	16.282.825	2.139.199	34.964.907	23.711.475	27.311.463	63.017.732	30.608.354	20.611.656	23.302.736	16.791.712	71.457.527	25.068.254	24.175.153	6.881.132	22.096.338	11.476.891	21.292.327	46.364.153	29.338.798	10.447.785	3.350.139	52.461.317	4.544.784	3.219.587	22.946.054	2.525.176	28.244.662	24.282.413	35.334.274	31.129.024	12.833.177	253.192	30.481.203	43.78	884	zf-H2C2	Pol, partial [Megaderma lyra retrovirus]	53.271	3.73e-51	95.5
FN8	NODE_649_length_906_cov_5.205066	Sedoreoviridae	Sedoreoviridae	0.0	0.05	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.07	0.09	0.0	0.03	0.06	0.02	0.11	0.0	0.07	0.04	0.0	0.0	0.0	0.04	0.02	0.04	0.0	0.0	0.0	0.0	0.01	0.01	0.22	0.08	0.0	12.520.618	1.317.463	1.280.005	14.849.599	1.083.283	11.790.227	2.241.779	11.923.935	8.897.952	20.606.464	30.929.467	8.379.732	16.566.588	1.316.484	16.693.999	14.744.413	305.074	56.535.825	69.615.466	12.665.417	9.442.486	13.051.109	27.347.389	7.433.975	12.723.715	10.087.269	10.901.063	12.193.084	45.366.944	19.659.354	59.359.465	59.702.176	10.654.742	13.158.588	62.36	906	AAA_31, CbiA	GNVR domain-containing protein [Streptomyces sp. AcH 505]	100.0	0.0	590.0
FN8	NODE_592_length_936_cov_1.880093	Spinareoviridae	Anelloviridae	0.0	0.12	0.01	0.02	0.0	0.02	0.04	0.0	0.0	0.12	0.04	0.0	0.09	0.1	0.03	0.02	0.02	0.05	0.03	0.0	0.0	0.01	0.01	0.06	0.02	0.0	0.0	0.01	0.0	0.02	0.01	0.07	0.08	0.0	7.052.123	76.013.185	108.927.125	1.267.592	61.679.822	66.407.365	1.048.396	11.444.957	5.011.692	33.197.504	6.332.467	57.050.386	9.083.583	8.680.482	9.808.483	6.716.482	19.552.229	89.654.215	31.157.113	7.133.679	60.205.624	842.391	7.289.737	8.215.393	78.283.725	55.792.974	61.399.234	68.676.425	6.784.962	22.305.999	1.663.774	2.130.229	24.452.947	74.114.534	55.66	936	MFS_1, Sugar_tr	hypothetical protein FE257_002547 [Aspergillus nanangensis]	76.154	2.15e-134	402.0
FN8	NODE_492_length_999_cov_171.946855	Anelloviridae	Anelloviridae	0.0	0.77	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.02	0.02	0.01	0.03	0.0	0.02	0.0	0.0	0.0	0.03	0.0	0.02	0.0	0.0	3,24E+01	9.991.517	3,24E+01	9,44E+00	2,65E+01	3,05E+00	2,56E+02	1,64E+01	2,30E+00	2,90E+01	3,29E+01	1,61E+02	6,19E+01	2,75E+01	6,96E+00	3,18E+01	1,85E+02	7,30E+02	2,11E+01	3,66E+01	4,37E+00	3,41E+01	2,26E+01	5,49E+00	3,60E+01	7,57E+00	2,82E+01	3,16E+01	3,62E+01	7,36E+00	2,50E+01	41.296.016	9,59E+01	3,41E+01	42.24	999	TT_ORF1	MAG: ORF1 [Torque teno virus]	99.099	0.0	686.0
FN8	NODE_381_length_1092_cov_5.718563	Sedoreoviridae	Sedoreoviridae	0.0	0.03	0.0	0.0	0.0	0.0	0.03	0.01	0.0	0.0	0.0	0.04	0.06	0.0	0.0	0.0	0.01	0.0	0.11	0.01	0.02	0.0	0.12	0.02	0.03	0.03	0.0	0.0	0.0	0.06	0.0	0.41	0.01	0.0	11.271.772	9.626.695	18.981.821	21.114.126	11.733.387	10.614.237	38.340.548	10.697.496	9.741.844	9.261.055	6.910.973	15.910.632	26.895.413	95.741.195	39.030.525	11.073.751	13.312.588	9.149.715	9.790.116	11.402.128	31.001.498	95.417.514	10.769.718	68.060.253	11.454.617	17.839.348	9.813.757	10.976.912	77.854.036	2.420.601	13.791.228	7.793.873	36.483.914	11.846.109	30.04	1092	RVT_1	hypothetical protein ABT39_MTgene923 [Picea glauca]	47.778	3.69e-35	87.8
FN8	NODE_319_length_1171_cov_8.680288	Hepadnaviridae	Phenuiviridae	0.01	0.11	0.05	0.01	0.0	0.04	0.01	0.0	0.0	0.02	0.01	0.01	0.03	0.0	0.0	0.0	0.05	0.0	0.2	0.0	0.06	0.01	0.02	0.24	0.02	0.0	0.01	0.0	0.0	0.02	0.02	0.02	0.02	0.01	12.280.952	33.984.154	466.424	13.448.438	11.643.141	13.266.285	12.608.344	12.019.749	121.759.195	27.537.301	10.854.414	28.573.193	29.035.068	104.661.975	13.280.773	11.261.935	33.424.903	16.235.381	3.607.927	14.251.039	2.568.754	13.147.837	10.740.599	30.439.764	1.431.664	15.291.743	122.658.005	13.719.576	14.578.673	12.936.739	13.764.493	16.931.975	13.436.274	11.431.414	45.52	1171	RT_RNaseH, RT_RNaseH_2	Ty3/Gypsy family RNase HI domain-containing protein, partial [Actinobacillus pleuropneumoniae]	92.517	5.13e-93	288.0
FN8	NODE_265_length_1244_cov_4.349614	Orthomyxoviridae	Sedoreoviridae	0.01	0.11	0.0	0.03	0.0	0.02	0.06	0.0	0.0	0.12	0.11	0.0	0.03	0.04	0.05	0.03	0.0	0.03	0.05	0.0	0.0	0.01	0.0	0.02	0.0	0.0	0.0	0.01	0.0	0.02	0.0	0.14	0.11	0.0	90.484.566	26.965.789	14.873.748	12.120.927	9.968.083	8.520.618	8.318.913	10.853.877	6.430.418	63.229.613	72.056.875	66.397.287	33.484.194	11.137.781	10.419.389	12.187.152	6.844.671	27.018.054	6.151.806	91.531	12.131.324	11.522.701	16.452.632	16.104.064	9.195.236	81.881.287	78.780.286	8.811.756	26.175.673	4.877.286	7.755.115	25.062.487	3.612.213	9.509.507	56.67	1244	FAD_binding_4, MFS_1	MFS transporter [Streptomyces sp. AcH 505]	100.0	3.66e-170	494.0
FN8	NODE_170_length_1478_cov_6.103498	Sedoreoviridae	Sedoreoviridae	0.0	0.09	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.08	0.03	0.0	0.08	0.06	0.06	0.14	0.0	0.08	0.03	0.0	0.0	0.01	0.04	0.06	0.02	0.0	0.0	0.01	0.0	0.01	0.0	0.16	0.03	0.0	48.143.384	14.451.475	69.419.425	50.315.905	4.165.362	45.334.958	8.865.443	45.849.103	342.138	6.126.418	29.517.777	1.051.812	19.685.077	45.880.503	5.255.021	7.725.188	41.966.806	22.233.985	4.995.956	4.870.015	7.005.596	4.965.646	17.466.236	8.269.911	4.892.434	49.955.086	4.191.599	46.883.994	29.044.311	7.637.031	37.084.152	46.449.322	12.979.024	5.059.646	66.64	1478	MFS_1	alpha/beta fold hydrolase [Pseudomonadota bacterium]	70.142	9.44e-91	287.0
FN8	NODE_164_length_1488_cov_15.055280	Sedoreoviridae	Phenuiviridae	0.0	0.04	0.04	0.0	0.0	0.01	0.0	0.0	0.0	0.07	0.0	0.02	0.1	0.02	0.02	0.02	0.04	0.03	0.05	0.0	0.03	0.0	0.0	0.3	0.01	0.0	0.0	0.0	0.0	0.15	0.01	0.02	0.02	0.0	4.517.725	36.623.366	56.954.077	5.530.934	44.839.084	48.801.927	4.337.819	56.221.425	4.479.088	102.326.255	9.358.981	35.366.819	74.823.596	56.856.475	8.529.727	4.935.857	141.607.495	21.996.275	15.217.609	7.900.395	46.297	4.836.621	29.133.458	10.779.242	57.529.723	41.001.546	45.121.517	50.469.437	5.466.146	12.110.908	1.385.626	27.236.786	15.660.715	4.838.088	53.02	1488	RVT_1	hypothetical protein SI65_09183 [Aspergillus cristatus]	55.431	2.44e-80	284.0
FN8	NODE_136_length_1562_cov_1.667340	Sedoreoviridae	Sedoreoviridae	0.0	0.1	0.0	0.0	0.01	0.01	0.02	0.0	0.0	0.15	0.07	0.0	0.03	0.08	0.02	0.05	0.02	0.06	0.0	0.0	0.02	0.0	0.03	0.0	0.02	0.0	0.0	0.0	0.0	0.01	0.0	0.24	0.06	0.0	1,50E+02	1,71E+02	2,00E+02	9,01E+02	1,29E+02	1,41E+02	5,16E+02	1,41E+02	1,06E+01	9,51E+01	1.009.815	2,29E+02	1,58E+02	1,57E+01	1,41E+02	1,51E+02	1,25E+02	6,18E+01	1,07E+02	2,28E+02	3,09E+01	1,57E+02	2,48E+02	2,68E+02	1,52E+01	1,35E+02	1,30E+02	1,46E+03	5,73E+02	23.843.409	3,96E+02	99.874.073	120.613.426	1,57E+02	61.72	1562	MFS_1, MFS_2	MFS transporter [Bradyrhizobium prioriisuperbiae]	72.683	9.12e-91	295.0
FN8	NODE_69_length_1956_cov_9.335957	Orthomyxoviridae	Orthomyxoviridae	0.0	0.06	0.05	0.01	0.01	0.0	0.02	0.01	0.0	0.02	0.01	0.06	0.09	0.0	0.0	0.0	0.05	0.0	0.14	0.01	0.02	0.0	0.05	0.07	0.03	0.02	0.0	0.0	0.0	0.03	0.03	0.13	0.08	0.0	23.318.177	22.859.396	7.016.018	19.044.809	27.844.958	25.189.055	3.543.145	22.822.222	23.118.747	1.874.619	21.135.405	31.794.343	4.482.695	22.296.477	2.223.931	18.388.348	20.124.486	1.871.631	8.224.557	27.058.834	46.358.522	22.643.901	6.149.094	18.380.854	27.183.391	21.162.892	23.289.409	26.049.731	22.493.562	29.125.854	31.049.198	8.701.958	40.273.514	24.435.032	44.02	1956	Pkinase, PK_Tyr_Ser-Thr	kinase-like protein [Aspergillus sclerotioniger CBS 115572]	67.626	2.42e-130	398.0
FN8	NODE_37_length_2455_cov_3.790160	Anelloviridae	Anelloviridae	0.0	0.5	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.01	0.0	0.0	0.0	0.03	0.0	0.06	0.0	0.03	0.02	0.06	0.01	0.0	0.02	0.0	0.0	0.0	0.13	0.0	0.07	0.0	0.0	33.677.302	6.911.831	28.494.475	33.650.799	25.075.774	36.379.325	3.255.174	36.945.064	2.745.507	21.042.463	2.368.673	3.304.938	4.727.649	32.814.415	32.119.157	32.296.712	45.412.616	9.639.974	6.752.562	43.681.986	51.014.656	52.672.527	63.360.897	21.055.562	42.885.435	146.610.895	33.635.749	37.622.359	7.007.893	532.662	29.758.415	49.537.636	14.917.023	31.347.664	36.13	2455	DUF755, TT_ORF2	MAG: ORF1 [Torque teno midi virus]	95.365	0.0	1079.0
FN8	NODE_2514_length_532_cov_1.536264	Orthoherpesviridae	Sedoreoviridae	0.0	0.07	0.01	0.0	0.0	0.0	0.04	0.02	0.0	0.0	0.0	0.01	0.07	0.0	0.0	0.0	0.0	0.0	0.09	0.01	0.05	0.0	0.07	0.02	0.04	0.0	0.0	0.0	0.05	0.03	0.0	0.4	0.02	0.0	14.225.538	2.772.402	1.322.078	9.496.245	11.629.983	13.395.696	35.810.573	16.750.802	12.294.692	764.172	14.811.219	31.953.296	19.158.501	1.208.302	39.568.064	12.911.763	7.374.898	76.490.664	27.058.387	16.084.712	15.631.469	15.251.561	5.241.862	3.230.306	15.791.394	1.986.801	12.385.449	13.853.409	9.800.735	7.923.872	10.957.726	5.106.064	9.137.942	13.280.116	26.13	532	AAA_31	ParA family protein [Caldifermentibacillus hisashii]	100.0	4.96e-18	90.5
FN10	NODE_18_length_2064_cov_2.646200	Sedoreoviridae	Sedoreoviridae	0.0	0.06	0.0	0.02	0.0	0.0	0.05	0.01	0.0	0.09	0.09	0.0	0.02	0.01	0.05	0.1	0.0	0.04	0.02	0.0	0.01	0.03	0.08	0.02	0.01	0.0	0.0	0.02	0.0	0.01	0.0	0.19	0.07	0.0	75.921.346	13.945.135	69.014.435	1.586.675	6.640.469	7.149.247	39.899.737	64.774.845	5.395.459	941.048	5.127.011	61.967.974	73.735.896	7.982.771	19.812.299	8.264.813	89.302.845	12.046.482	10.343.723	76.799.365	26.558.988	8.336.973	5.441.247	4.121.445	77.152.867	68.702.707	66.100.843	73.935.273	8.647.348	67.748.125	65.069.525	56.222.725	756.377	797.898	58.28	2064	AAA_19, AAA_30, Viral_helicase1	relaxase domain-containing protein [Afipia sp.]	69.737	0.0	648.0
FN10	NODE_54_length_1472_cov_2.822222	Astroviridae	Hepadnaviridae	0.02	0.05	0.03	0.01	0.01	0.0	0.03	0.0	0.0	0.03	0.01	0.05	0.13	0.0	0.01	0.0	0.12	0.0	0.11	0.0	0.0	0.0	0.04	0.12	0.03	0.0	0.0	0.0	0.0	0.11	0.02	0.07	0.0	0.0	15.608.243	25.845.673	1.782.076	14.152.038	15.660.226	16.860.535	22.723.857	17.528.262	12.724.456	21.106.714	8.970.936	18.349.893	12.706.344	14.924.357	19.543.957	14.764.971	6.924.648	1.864.962	31.580.023	18.112.086	12.624.965	20.681.834	24.748.577	50.041.966	18.195.465	1.595.067	15.588.986	17.436.638	10.878.393	21.197.462	15.722.448	9.354.667	23.706.084	14.528.537	47.96	1472	RT_RNaseH, RT_RNaseH_2, RVT_1	LOW QUALITY PROTEIN: uncharacterized protein LOC110283944 [Mus caroli]	85.175	0.0	598.0
FN10	NODE_224_length_960_cov_8.497589	Spinareoviridae	Sedoreoviridae	0.0	0.04	0.0	0.02	0.0	0.01	0.05	0.0	0.0	0.11	0.07	0.01	0.09	0.0	0.01	0.0	0.02	0.0	0.07	0.0	0.04	0.03	0.05	0.07	0.02	0.0	0.0	0.0	0.0	0.07	0.0	0.14	0.07	0.01	9.609.442	2.276.986	11.568.522	130.860.545	12.143.842	10.380.432	27.181.614	9.405.059	7.833.998	16.429.724	13.748.384	8.991.218	9.527.842	10.330.564	12.693.649	9.867.682	15.309.407	16.366.573	14.031.028	1.115.097	48.900.828	9.331.573	16.532.237	8.221.744	11.202.301	13.998.451	95.975.865	10.735.118	35.235.714	14.234.245	13.487.445	19.006.221	21.634.132	11.585.171	51.56	960	RVT_1	hypothetical protein OPV22_034763 [Ensete ventricosum]	91.25	0.0	580.0
